date,hour,patients,specialty,temperature,aqi,rainfall,holiday,revisit,doctors,counters,beds_occ
2026-06-01,10,95,emergency,34.0,150.0,0.0,0,10.0,4,2,55
2026-06-02,10,102,emergency,35.0,160.0,0.0,0,11.0,4,2,60
2026-06-03,10,98,emergency,36.0,165.0,0.0,0,10.5,4,2,58
2026-06-04,10,110,emergency,37.0,180.0,0.0,0,13.0,4,2,65
2026-06-05,10,125,emergency,39.0,200.0,0.0,0,15.0,4,2,75
2026-06-06,10,88,emergency,38.0,170.0,0.0,0,9.0,4,2,52
2026-06-07,10,75,emergency,37.0,155.0,0.0,1,7.0,4,2,45
2026-06-08,10,130,emergency,40.0,215.0,0.0,0,16.0,4,2,80
2026-06-09,10,135,emergency,41.0,230.0,0.0,0,18.0,4,2,85
2026-06-10,10,128,emergency,40.5,220.0,0.0,0,17.0,4,2,82
2026-06-11,10,115,emergency,38.5,190.0,5.0,0,14.0,4,2,70
2026-06-12,10,92,emergency,35.5,150.0,25.0,0,10.0,4,2,55
2026-06-13,10,80,emergency,33.5,135.0,45.0,0,8.0,4,2,50
2026-06-14,10,70,emergency,32.5,125.0,15.0,1,6.0,4,2,42
2026-06-15,10,118,emergency,36.5,175.0,0.0,0,14.0,4,2,72
