_date,_hour,_patients,_facility,_temp,_aqi,_rain,holiday,revisit,_doctors,counters,beds_occ,_holiday,_revisit,_lagged,_counters,_beds_occ
2026-06-01,10,95.0,emergency,34.0,150.0,0.0,0,10.0,4,2,55,0,0.0,104.06666666666666,3,70
2026-06-02,10,102.0,emergency,35.0,160.0,0.0,0,11.0,4,2,60,0,0.0,95.0,3,70
2026-06-03,10,98.0,emergency,36.0,165.0,0.0,0,10.5,4,2,58,0,0.0,102.0,3,70
2026-06-04,10,110.0,emergency,37.0,180.0,0.0,0,13.0,4,2,65,0,0.0,98.0,3,70
2026-06-05,10,125.0,emergency,39.0,200.0,0.0,0,15.0,4,2,75,0,0.0,110.0,3,70
2026-06-06,10,88.0,emergency,38.0,170.0,0.0,0,9.0,4,2,52,0,0.0,125.0,3,70
2026-06-07,10,75.0,emergency,37.0,155.0,0.0,1,7.0,4,2,45,0,0.0,88.0,3,70
2026-06-08,10,130.0,emergency,40.0,215.0,0.0,0,16.0,4,2,80,0,0.0,75.0,3,70
2026-06-09,10,135.0,emergency,41.0,230.0,0.0,0,18.0,4,2,85,0,0.0,130.0,3,70
2026-06-10,10,128.0,emergency,40.5,220.0,0.0,0,17.0,4,2,82,0,0.0,135.0,3,70
2026-06-11,10,115.0,emergency,38.5,190.0,5.0,0,14.0,4,2,70,0,0.0,128.0,3,70
2026-06-12,10,92.0,emergency,35.5,150.0,25.0,0,10.0,4,2,55,0,0.0,115.0,3,70
2026-06-13,10,80.0,emergency,33.5,135.0,45.0,0,8.0,4,2,50,0,0.0,92.0,3,70
2026-06-14,10,70.0,emergency,32.5,125.0,15.0,1,6.0,4,2,42,0,0.0,80.0,3,70
2026-06-15,10,118.0,emergency,36.5,175.0,0.0,0,14.0,4,2,72,0,0.0,70.0,3,70
